"","gbifID","species","decimalLatitude","decimalLongitude","elevation"
"1",923915491,"Amelanchier alnifolia",47.86604,-123.048849,1672
"2",891154778,"Amelanchier alnifolia",47.596233,-120.661476,357
"3",891078128,"Amelanchier alnifolia",47.656422,-122.292793,9
"4",883422335,"Amelanchier alnifolia",49.9792,-114.76,2335
"5",883420335,"Amelanchier alnifolia",50.0711,-114.7746,1998
"6",441686878,"Amelanchier alnifolia",46.865495,-123.05388,33
"7",441686862,"Amelanchier alnifolia",48.165833,-122.179167,40
"8",441686852,"Amelanchier alnifolia",48.128883,-122.9282,54
"9",441686846,"Amelanchier alnifolia",48.614217,-123.007017,15
"10",441686845,"Amelanchier alnifolia",48.63905,-122.986133,12
"11",441686840,"Amelanchier alnifolia",48.64785,-123.07845,3
"12",441686839,"Amelanchier alnifolia",48.598783,-123.025783,8
"13",441686838,"Amelanchier alnifolia",48.59115,-123.017833,12
"14",441686837,"Amelanchier alnifolia",48.6184,-123.167533,6
"15",441686836,"Amelanchier alnifolia",48.656917,-123.1316,-1
"16",441686835,"Amelanchier alnifolia",48.6249,-123.18525,12
"17",441686830,"Amelanchier alnifolia",48.58985,-123.013767,6
"18",441686818,"Amelanchier alnifolia",48.395283,-120.829767,904
"19",441686816,"Amelanchier alnifolia",48.63995,-123.148583,-5
"20",441686814,"Amelanchier alnifolia",48.595417,-123.018583,12
"21",441686813,"Amelanchier alnifolia",48.622767,-123.156017,9
"22",441686497,"Amelanchier alnifolia",46.85148,-117.92188,452
"23",441686496,"Amelanchier alnifolia",47.03806,-122.89944,25
"24",441686487,"Amelanchier alnifolia",46.82,-120.84806,1220
"25",441686485,"Amelanchier alnifolia",45.715,-121.46333,44
"26",441686483,"Amelanchier alnifolia",47.19556,-120.93806,582
"27",441686482,"Amelanchier alnifolia",48.763056,-122.913333,20
"28",441686481,"Amelanchier alnifolia",47.45167,-119.80278,341
"29",441686479,"Amelanchier alnifolia",46.624881,-117.337032,390
"30",441686478,"Amelanchier alnifolia",48.07861,-121.56583,473
"31",441686477,"Amelanchier alnifolia",48.07917,-123.04389,-2
"32",441686476,"Amelanchier alnifolia",47.32944,-121.37167,793
"33",441686475,"Amelanchier alnifolia",47.27333,-117.5675,556
"34",441686474,"Amelanchier alnifolia",47.297317,-120.66417,1088
"35",441686473,"Amelanchier alnifolia",48.89028,-121.94444,274
"36",441686472,"Amelanchier alnifolia",46.928988,-117.270805,633
"37",441686471,"Amelanchier alnifolia",47.53028,-122.03139,152
"38",441686470,"Amelanchier alnifolia",48.66583,-122.4825,63
"39",441686468,"Amelanchier alnifolia",48.39389,-122.6475,12
"40",441686466,"Amelanchier alnifolia",48.708333,-119.677778,603
"41",441686465,"Amelanchier alnifolia",47.60472,-119.34639,482
"42",441686462,"Amelanchier alnifolia",47.42722,-119.42056,457
"43",441686461,"Amelanchier alnifolia",48.29278,-122.675,65
"44",441686460,"Amelanchier alnifolia",46.63889,-119.91944,148
"45",441686459,"Amelanchier alnifolia",46.60222,-120.50472,325
"46",441686457,"Amelanchier alnifolia",46.63889,-119.91944,148
"47",441686453,"Amelanchier alnifolia",46.87222,-121.51444,1639
"48",441686452,"Amelanchier alnifolia",47.63972,-122.82722,11
"49",441686450,"Amelanchier alnifolia",45.99806,-120.29944,917
"50",441686449,"Amelanchier alnifolia",47.196944,-120.948889,606
"51",441686448,"Amelanchier alnifolia",47.820855,-120.20722,410
"52",441686445,"Amelanchier alnifolia",47.19944,-120.27583,1633
"53",441686444,"Amelanchier alnifolia",47.42361,-120.30917,200
"54",441686443,"Amelanchier alnifolia",45.715,-121.46333,44
"55",441686442,"Amelanchier alnifolia",45.94417,-121.37889,568
"56",441686440,"Amelanchier alnifolia",45.58556,-122.155,2
"57",441686438,"Amelanchier alnifolia",45.715,-121.46333,44
"58",441686437,"Amelanchier alnifolia",47.65889,-117.425,573
"59",441686436,"Amelanchier alnifolia",47.65889,-117.425,573
"60",441686435,"Amelanchier alnifolia",45.6175,-122.04056,9
"61",441686434,"Amelanchier alnifolia",46.73139,-117.17861,732
"62",441686433,"Amelanchier alnifolia",45.94417,-121.37889,568
"63",441686432,"Amelanchier alnifolia",46.94945,-120.00305,255
"64",441686431,"Amelanchier alnifolia",46.91028,-117.07472,748
"65",441686430,"Amelanchier alnifolia",45.715,-121.46333,44
"66",441686429,"Amelanchier alnifolia",45.79944,-121.48583,123
"67",441686428,"Amelanchier alnifolia",45.715,-121.46333,44
"68",441686427,"Amelanchier alnifolia",45.715,-121.46333,44
"69",441686426,"Amelanchier alnifolia",45.57278,-122.19389,4
"70",441686425,"Amelanchier alnifolia",48.41111,-119.52639,252
"71",441686424,"Amelanchier alnifolia",45.57278,-122.19389,4
"72",441686422,"Amelanchier alnifolia",45.79944,-121.48583,123
"73",441686421,"Amelanchier alnifolia",47.562003,-120.779518,640
"74",441686420,"Amelanchier alnifolia",45.715,-121.46333,44
"75",441686419,"Amelanchier alnifolia",48.28833,-119.74389,674
"76",441686412,"Amelanchier alnifolia",46.71986,-120.45701,364
"77",441686410,"Amelanchier alnifolia",47.557496,-120.574698,294
"78",441686408,"Amelanchier alnifolia",46.94945,-120.00305,255
"79",441686407,"Amelanchier alnifolia",47.196944,-120.948889,606
"80",441686394,"Amelanchier alnifolia",48.89028,-121.94444,274
"81",441686391,"Amelanchier alnifolia",47.32944,-121.37167,762
"82",441686386,"Amelanchier alnifolia",48.98556,-123.07667,10
"83",441686385,"Amelanchier alnifolia",47.42488,-120.6594,712
"84",441686384,"Amelanchier alnifolia",47.5225,-120.46861,241
"85",441686383,"Amelanchier alnifolia",47.98778,-122.88167,34
"86",441686382,"Amelanchier alnifolia",47.60639,-122.33083,64
"87",441686381,"Amelanchier alnifolia",47.65889,-117.425,573
"88",441686380,"Amelanchier alnifolia",47.65889,-117.425,1524
"89",441686379,"Amelanchier alnifolia",46.74942,-121.24936,762
"90",441686378,"Amelanchier alnifolia",47.32944,-121.37167,762
"91",441686376,"Amelanchier alnifolia",47.65889,-117.425,573
"92",441686361,"Amelanchier alnifolia",47.98778,-122.88167,34
"93",441686360,"Amelanchier alnifolia",47.4275,-117.37917,740
"94",441686358,"Amelanchier alnifolia",48.04028,-122.405,5
"95",441686357,"Amelanchier alnifolia",48.04028,-122.405,5
"96",441686356,"Amelanchier alnifolia",47.18444,-117.68111,457.5
"97",441686341,"Amelanchier alnifolia",47.60639,-122.33083,64
"98",441686338,"Amelanchier alnifolia",47.10636,-122.50879,87
"99",441686337,"Amelanchier alnifolia",48.11833,-123.42944,21
"100",441686334,"Amelanchier alnifolia",47.60639,-122.33083,64
"101",441686333,"Amelanchier alnifolia",48.05194,-122.17583,7
"102",441686330,"Amelanchier alnifolia",47.648433,-122.933459,3
"103",441686329,"Amelanchier alnifolia",45.715,-121.46333,44
"104",441686314,"Amelanchier alnifolia",49.233333,-125.366667,166
"105",441686311,"Amelanchier alnifolia",47.21528,-123.09944,9
"106",441686283,"Amelanchier alnifolia",46.91028,-117.07472,748
