gbifID,species,decimalLatitude,decimalLongitude,elevation
923915491,Amelanchier alnifolia,47.86604,-123.048849,1672
891154778,Amelanchier alnifolia,47.596233,-120.661476,357
891078128,Amelanchier alnifolia,47.656422,-122.292793,9
883422335,Amelanchier alnifolia,49.9792,-114.76,2335
883420335,Amelanchier alnifolia,50.0711,-114.7746,1998
441686878,Amelanchier alnifolia,46.865495,-123.05388,33
441686862,Amelanchier alnifolia,48.165833,-122.179167,40
441686852,Amelanchier alnifolia,48.128883,-122.9282,54
441686846,Amelanchier alnifolia,48.614217,-123.007017,15
441686845,Amelanchier alnifolia,48.63905,-122.986133,12
441686840,Amelanchier alnifolia,48.64785,-123.07845,3
441686839,Amelanchier alnifolia,48.598783,-123.025783,8
441686838,Amelanchier alnifolia,48.59115,-123.017833,12
441686837,Amelanchier alnifolia,48.6184,-123.167533,6
441686836,Amelanchier alnifolia,48.656917,-123.1316,-1
441686835,Amelanchier alnifolia,48.6249,-123.18525,12
441686830,Amelanchier alnifolia,48.58985,-123.013767,6
441686818,Amelanchier alnifolia,48.395283,-120.829767,904
441686816,Amelanchier alnifolia,48.63995,-123.148583,-5
441686814,Amelanchier alnifolia,48.595417,-123.018583,12
441686813,Amelanchier alnifolia,48.622767,-123.156017,9
441686497,Amelanchier alnifolia,46.85148,-117.92188,452
441686496,Amelanchier alnifolia,47.03806,-122.89944,25
441686487,Amelanchier alnifolia,46.82,-120.84806,1220
441686485,Amelanchier alnifolia,45.715,-121.46333,44
441686483,Amelanchier alnifolia,47.19556,-120.93806,582
441686482,Amelanchier alnifolia,48.763056,-122.913333,20
441686481,Amelanchier alnifolia,47.45167,-119.80278,341
441686479,Amelanchier alnifolia,46.624881,-117.337032,390
441686478,Amelanchier alnifolia,48.07861,-121.56583,473
441686477,Amelanchier alnifolia,48.07917,-123.04389,-2
441686476,Amelanchier alnifolia,47.32944,-121.37167,793
441686475,Amelanchier alnifolia,47.27333,-117.5675,556
441686474,Amelanchier alnifolia,47.297317,-120.66417,1088
441686473,Amelanchier alnifolia,48.89028,-121.94444,274
441686472,Amelanchier alnifolia,46.928988,-117.270805,633
441686471,Amelanchier alnifolia,47.53028,-122.03139,152
441686470,Amelanchier alnifolia,48.66583,-122.4825,63
441686468,Amelanchier alnifolia,48.39389,-122.6475,12
441686466,Amelanchier alnifolia,48.708333,-119.677778,603
441686465,Amelanchier alnifolia,47.60472,-119.34639,482
441686462,Amelanchier alnifolia,47.42722,-119.42056,457
441686461,Amelanchier alnifolia,48.29278,-122.675,65
441686460,Amelanchier alnifolia,46.63889,-119.91944,148
441686459,Amelanchier alnifolia,46.60222,-120.50472,325
441686457,Amelanchier alnifolia,46.63889,-119.91944,148
441686453,Amelanchier alnifolia,46.87222,-121.51444,1639
441686452,Amelanchier alnifolia,47.63972,-122.82722,11
441686450,Amelanchier alnifolia,45.99806,-120.29944,917
441686449,Amelanchier alnifolia,47.196944,-120.948889,606
441686448,Amelanchier alnifolia,47.820855,-120.20722,410
441686445,Amelanchier alnifolia,47.19944,-120.27583,1633
441686444,Amelanchier alnifolia,47.42361,-120.30917,200
441686443,Amelanchier alnifolia,45.715,-121.46333,44
441686442,Amelanchier alnifolia,45.94417,-121.37889,568
441686440,Amelanchier alnifolia,45.58556,-122.155,2
441686438,Amelanchier alnifolia,45.715,-121.46333,44
441686437,Amelanchier alnifolia,47.65889,-117.425,573
441686436,Amelanchier alnifolia,47.65889,-117.425,573
441686435,Amelanchier alnifolia,45.6175,-122.04056,9
441686434,Amelanchier alnifolia,46.73139,-117.17861,732
441686433,Amelanchier alnifolia,45.94417,-121.37889,568
441686432,Amelanchier alnifolia,46.94945,-120.00305,255
441686431,Amelanchier alnifolia,46.91028,-117.07472,748
441686430,Amelanchier alnifolia,45.715,-121.46333,44
441686429,Amelanchier alnifolia,45.79944,-121.48583,123
441686428,Amelanchier alnifolia,45.715,-121.46333,44
441686427,Amelanchier alnifolia,45.715,-121.46333,44
441686426,Amelanchier alnifolia,45.57278,-122.19389,4
441686425,Amelanchier alnifolia,48.41111,-119.52639,252
441686424,Amelanchier alnifolia,45.57278,-122.19389,4
441686422,Amelanchier alnifolia,45.79944,-121.48583,123
441686421,Amelanchier alnifolia,47.562003,-120.779518,640
441686420,Amelanchier alnifolia,45.715,-121.46333,44
441686419,Amelanchier alnifolia,48.28833,-119.74389,674
441686412,Amelanchier alnifolia,46.71986,-120.45701,364
441686410,Amelanchier alnifolia,47.557496,-120.574698,294
441686408,Amelanchier alnifolia,46.94945,-120.00305,255
441686407,Amelanchier alnifolia,47.196944,-120.948889,606
441686394,Amelanchier alnifolia,48.89028,-121.94444,274
