"","gbifID","species","decimalLatitude","decimalLongitude","elevation"
"1",4018451480,"Rubus nivalis",48.630467,-122.390525,377
"2",3988623669,"Rubus nivalis",48.032892,-123.419084,591
"3",3985775993,"Rubus nivalis",43.64643,-122.659692,654
"4",3985692071,"Rubus nivalis",43.647226,-122.663534,663
"5",3968371429,"Rubus nivalis",44.2333,-122.175,761
"6",3968371368,"Rubus nivalis",44.2333,-122.175,884
"7",3961466571,"Rubus nivalis",45.70395,-123.343972,367
"8",3961450508,"Rubus nivalis",47.82848,-123.04428,770
"9",3961446602,"Rubus nivalis",46.392108,-121.989778,722
"10",3961410348,"Rubus nivalis",43.017567,-122.720733,847
"11",3961390532,"Rubus nivalis",44.499817,-123.568908,747
"12",3961371510,"Rubus nivalis",43.764763,-122.632554,1331
"13",3961332644,"Rubus nivalis",46.729615,-121.802964,1149
"14",3961246534,"Rubus nivalis",48.033567,-123.445847,843
"15",3961245419,"Rubus nivalis",43.764747,-122.632622,1331
"16",3961244519,"Rubus nivalis",48.031345,-123.4365,739
"17",3961215514,"Rubus nivalis",44.226677,-122.126107,1000
"18",3961145238,"Rubus nivalis",47.488802,-121.688036,415
"19",3961135331,"Rubus nivalis",47.614444,-123.163889,590
"20",3961134467,"Rubus nivalis",44.49947,-123.567933,733
"21",3961114458,"Rubus nivalis",47.020867,-123.096642,394
"22",3961023584,"Rubus nivalis",49.431228,-123.527038,510
"23",3961015521,"Rubus nivalis",43.823333,-122.724563,750
"24",3960991461,"Rubus nivalis",47.022531,-123.095847,380
"25",3960986446,"Rubus nivalis",46.964867,-123.156272,622
"26",3947503759,"Rubus nivalis",44.243375,-122.168006,1074
"27",3925451114,"Rubus nivalis",44.23242,-122.159403,737
"28",3925145919,"Rubus nivalis",44.232254,-122.161602,743
"29",3923675728,"Rubus nivalis",49.838266,-125.618484,234
"30",3923557533,"Rubus nivalis",44.23318,-122.176176,756
"31",3915528366,"Rubus nivalis",43.649942,-122.652572,782
"32",3915470570,"Rubus nivalis",49.531581,-125.551217,502
"33",3915455599,"Rubus nivalis",49.772897,-125.621835,228
"34",3915360553,"Rubus nivalis",49.579148,-125.614642,656
"35",3915309588,"Rubus nivalis",49.575794,-125.612892,363
"36",3915286470,"Rubus nivalis",49.532238,-125.551123,499
"37",3915277539,"Rubus nivalis",48.632359,-122.393981,464
"38",3915266438,"Rubus nivalis",49.576014,-125.612411,395
"39",3912107465,"Rubus nivalis",48.632984,-122.403894,598
