gbifID,species,decimalLatitude,decimalLongitude,elevation
891083071,Vaccinium parvifolium,47.637092,-122.295629,27
891080940,Vaccinium parvifolium,47.820661,-121.555109,171
891076696,Vaccinium parvifolium,46.839714,-122.316025,284
891074541,Vaccinium parvifolium,46.839876,-122.294284,511
883389148,Vaccinium parvifolium,52.15,-128.116667,88
623695929,Vaccinium parvifolium,47.431667,-121.761667,295
465863013,Vaccinium parvifolium,49.5,-125.5,1382
465863012,Vaccinium parvifolium,49.5,-125.5,1382
465863010,Vaccinium parvifolium,49.5,-125.5,1382
465863008,Vaccinium parvifolium,49.5,-125.5,1382
465863007,Vaccinium parvifolium,50.965278,-118.369444,554
441858202,Vaccinium parvifolium,47.393554,-123.402209,620
441858196,Vaccinium parvifolium,48.6129,-122.614,8
441858189,Vaccinium parvifolium,48.88402,-121.03805,502
441858164,Vaccinium parvifolium,48.74791,-122.84196,8
441858157,Vaccinium parvifolium,46.212547,-123.11861,168
441858133,Vaccinium parvifolium,48.207778,-122.173611,88
441857915,Vaccinium parvifolium,47.60639,-122.33083,64
441857914,Vaccinium parvifolium,47.60639,-122.33083,64
441857913,Vaccinium parvifolium,47.60639,-122.33083,64
441857912,Vaccinium parvifolium,47.60639,-122.33083,64
441857910,Vaccinium parvifolium,48.07861,-121.56583,473
441857887,Vaccinium parvifolium,46.85163,-121.76092,4375
441857886,Vaccinium parvifolium,48.09472,-123.80583,186
441857885,Vaccinium parvifolium,47.99538,-123.46784,915
441857857,Vaccinium parvifolium,48.05194,-122.17583,7
441857852,Vaccinium parvifolium,48.071272,-124.291322,124
441857851,Vaccinium parvifolium,47.32944,-121.37167,793
441857849,Vaccinium parvifolium,47.68167,-122.2075,51
441857848,Vaccinium parvifolium,47.60639,-122.33083,64
441857847,Vaccinium parvifolium,47.60639,-122.33083,64
441857482,Vaccinium parvifolium,47.03806,-122.89944,26
441857410,Vaccinium parvifolium,46.394667,-123.884233,49
