gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
811880141,Rubus lasiococcus,45.37361,-121.69444,3347,-1.7,8.1,-7.8,15.9,3506,556,2.4,14.6,1521,289,7157,0,114,174,269,95,2820,-35.2,23.4,14.6,198,5,82,338.71,32
441828819,Rubus lasiococcus,47.07017,-121.06326,1802,3.1,11.9,-4.6,16.5,1821,285,7.2,41.8,674,768,5438,7,142,179,265,86,951,-32.3,30.9,15.2,524,164,65,142.99,206
441828784,Rubus lasiococcus,47.980822,-120.737187,1500,4.1,14.2,-5,19.1,1553,184,9.1,77,644,1053,5055,17,158,169,267,98,793,-33.4,32.9,13.9,578,307,63,107.95,382
441828657,Rubus lasiococcus,47.27694,-121.3375,1198,5,14.1,-3.2,17.3,2274,367,6.6,38.3,457,1105,4719,18,190,156,275,119,792,-28.6,32.8,13.5,600,164,69,182.75,397
441828554,Rubus lasiococcus,48.06611,-121.50778,1067,6.1,14.8,-1.9,16.7,3936,751,4.1,19.7,350,1266,4359,25,208,148,282,134,909,-27,32.7,13.6,625,35,69,346.32,485
441828302,Rubus lasiococcus,47.98167,-123.60139,174,9.1,16.2,2.7,13.5,1613,195,11.9,83,116,1837,3273,54,287,113,306,193,81,-17.6,35,11.2,702,307,71,105.4,756
441828294,Rubus lasiococcus,47.744438,-121.090111,1524.5,3.6,12.9,-4.5,17.3,2207,350,6.2,36.8,616,874,5227,9,161,169,268,99,1034,-31.7,31.2,13.5,513,151,68,181.9,271
441828198,Rubus lasiococcus,46.85163,-121.76092,4380,-9.1,1,-16.2,17.1,2995,435,0.3,2.2,3412,35,9857,0,20,28,224,196,2860,-48.2,16.7,16.4,81,0,75,296.55,1
441828195,Rubus lasiococcus,48.105535,-120.737582,1220,4.8,15.5,-5,20.4,1325,138,11.2,111.9,619,1247,4812,31,176,154,273,119,652,-33.4,33.9,14.3,623,365,65,83.52,510
441828194,Rubus lasiococcus,47.99538,-123.46784,1896,2.3,10.9,-4.7,15.6,2357,273,5.2,39.8,746,626,5703,4,145,180,273,93,1353,-32.2,28.5,15.4,384,128,70,207.05,134
441828193,Rubus lasiococcus,47.71167,-121.15444,640,6.2,15.2,-2.4,17.7,2091,375,7.7,40.7,362,1338,4316,31,206,150,276,127,519,-27.6,34.1,12.5,666,184,67,159.17,532
441828187,Rubus lasiococcus,47.52205,-123.26061,1677,3.7,11.7,-2.8,14.5,2843,441,4.8,26.5,508,758,5207,6,172,169,275,106,1102,-28.3,29.4,15.7,463,73,72,251.64,193
441828110,Rubus lasiococcus,45.94957,-121.72064,979,6.9,15.7,-1.2,16.9,1851,249,9.1,62.9,287,1434,4088,37,224,141,287,146,357,-25.4,34.7,14.3,678,259,68,132.75,585
441828102,Rubus lasiococcus,47.366667,-121.551389,1128,5.9,14,-1.8,15.8,2761,511,5.8,27.3,341,1196,4411,19,211,152,282,130,642,-26,32.4,11.3,619,85,70,230.09,427
441828097,Rubus lasiococcus,47.348833,-121.501433,1497,5.2,13.3,-2.3,15.7,2987,564,5.1,23.7,391,1045,4665,14,201,155,280,125,838,-26.9,31.6,12.3,563,62,71,256.58,347
441828088,Rubus lasiococcus,47.32,-121.593056,1098,5.8,13.7,-1.8,15.5,2706,499,5.8,27.4,342,1162,4447,17,211,152,283,131,636,-26,32,11.9,608,84,71,226.18,404
441828087,Rubus lasiococcus,47.32,-121.593056,1098,5.8,13.7,-1.8,15.5,2706,499,5.8,27.4,342,1162,4447,17,211,152,283,131,636,-26,32,11.9,608,84,71,226.18,404
441828080,Rubus lasiococcus,47.29615,-121.534167,1113,5.7,13.9,-2,15.9,2645,474,6,29.3,355,1169,4466,18,207,154,281,128,659,-26.4,32.6,12.7,603,102,70,218.85,413
441827949,Rubus lasiococcus,48.063294,-121.513675,991,6.2,15,-1.8,16.8,3903,753,4.2,19.9,340,1305,4298,27,212,146,283,137,857,-26.8,32.8,13.6,630,34,69,342.54,508
441827948,Rubus lasiococcus,46.19893,-122.18888,1875,2.9,11.8,-3.6,15.5,4369,678,3,17.5,645,695,5493,5,167,166,266,99,2207,-28.6,29.1,13.3,429,41,75,407.94,171
441827946,Rubus lasiococcus,47.56,-123.42528,1220,5.9,13.5,-0.5,14,3727,586,4.3,23,275,1097,4396,15,220,148,288,141,693,-24.5,31.1,10.9,556,42,73,333.3,365
441827945,Rubus lasiococcus,47.46722,-121.45472,1220,5.3,13.6,-2.2,15.8,3239,646,4.7,21.1,383,1065,4638,15,205,152,281,129,883,-26.5,31.6,12.8,557,43,72,283.19,364
441827943,Rubus lasiococcus,47.93333,-123.40833,1524,4,12.1,-2.6,14.7,1818,219,7.7,55.1,480,814,5105,8,178,164,278,114,713,-28.2,29.8,12.8,460,167,72,148.65,226
4022272624,Rubus lasiococcus,43.64247,-122.035773,1477,5.4,14.4,-1.9,16.3,1727,298,8.9,48.2,394,1126,4609,20,164,174,262,87,507,-28.5,34.4,15.1,725,263,60,115.45,413
4022251381,Rubus lasiococcus,43.781739,-122.045997,1649,4.1,12.8,-2.8,15.6,1801,298,7.8,42.9,493,883,5048,9,142,183,255,71,701,-30.3,33,15.8,634,229,60,130.98,270
4022200662,Rubus lasiococcus,46.869818,-121.519426,1628,3.4,12.1,-4.2,16.3,1930,270,6.9,44.8,615,789,5331,7,152,177,267,90,959,-31.5,30.7,14.4,514,170,66,155.31,217
4022161491,Rubus lasiococcus,43.639137,-122.041573,1483,5.4,14.4,-1.9,16.3,1733,294,8.9,48.9,393,1130,4604,20,164,174,262,88,508,-28.6,34.5,15,727,266,60,115.74,415
4022150426,Rubus lasiococcus,44.281418,-122.145722,1553,6.4,14.7,0.2,14.5,2346,428,7,34.4,261,1242,4235,23,192,165,274,109,405,-25.5,35.3,15.7,771,194,61,174.67,463
4022073414,Rubus lasiococcus,44.281247,-122.143172,1578,6.3,14.7,0.1,14.5,2355,431,6.9,34,265,1228,4259,22,190,166,273,108,417,-25.6,35.2,15.8,768,191,61,175.84,454
4022069463,Rubus lasiococcus,44.28145,-122.146097,1553,6.4,14.7,0.2,14.5,2346,428,7,34.4,261,1242,4236,23,192,165,274,109,406,-25.5,35.3,15.7,771,194,61,174.68,462
4022052490,Rubus lasiococcus,44.278205,-122.14027,1438,6.9,15.2,0.5,14.7,2311,413,7.3,36.9,234,1346,4076,29,202,161,277,116,339,-24.7,35.8,15.6,786,205,61,168.9,521
4022032534,Rubus lasiococcus,44.228943,-121.876427,1450,5.2,13.7,-1.9,15.6,2370,390,6.4,35.3,381,1069,4642,16,161,176,261,85,678,-29,34.2,15.3,712,209,59,180.96,370
4021997536,Rubus lasiococcus,44.20535,-122.130552,1497,7.2,15.6,0.9,14.6,2305,414,7.5,37.7,213,1420,3952,34,209,161,276,115,291,-23.5,36.4,13.8,808,215,61,164.42,563
4021994502,Rubus lasiococcus,44.180133,-121.825722,1843,3.5,12.2,-3.5,15.8,2547,421,5.3,29,583,786,5295,7,127,185,252,67,1174,-31.9,32.2,15.4,599,173,59,208.39,217
4006710591,Rubus lasiococcus,47.386437,-121.388293,785,5.8,14.7,-2.7,17.5,2420,406,6.5,36.3,400,1245,4475,26,196,155,274,119,706,-28,34.1,13,644,166,66,192.98,483
3994288516,Rubus lasiococcus,49.140558,-120.804793,1781,1.5,11.2,-6.8,18,1181,241,9.8,46.4,984,626,5998,5,126,179,251,72,757,-37.2,30,13.8,426,160,65,86.45,139
3994271526,Rubus lasiococcus,49.140558,-120.804793,1781,1.5,11.2,-6.8,18,1181,241,9.8,46.4,984,626,5998,5,126,179,251,72,757,-37.2,30,13.8,426,160,65,86.45,139
3994170579,Rubus lasiococcus,49.140558,-120.804793,1781,1.5,11.2,-6.8,18,1181,241,9.8,46.4,984,626,5998,5,126,179,251,72,757,-37.2,30,13.8,426,160,65,86.45,139
3994110545,Rubus lasiococcus,49.137123,-120.796607,1646,2,11.8,-6.7,18.5,1107,230,10.9,51.2,926,711,5817,6,132,176,252,75,675,-36.9,30.8,13.7,493,188,64,75.91,181
3994069544,Rubus lasiococcus,42.037317,-122.079475,1285,7.9,18,-1.1,19,545,113,32.8,159.1,263,1758,3772,90,190,155,265,110,81,-28.6,38.7,16.5,934,632,53,-30.18,813
3986213957,Rubus lasiococcus,49.073942,-120.767955,1673,2.1,11.9,-6.7,18.6,1115,219,10.9,54.6,914,735,5774,7,131,177,252,74,685,-36.8,31,13.8,506,211,63,74.92,193
3985738954,Rubus lasiococcus,49.074839,-120.768824,1702,2,11.8,-6.7,18.5,1127,221,10.7,53.4,924,717,5809,6,130,178,252,74,700,-36.9,30.8,13.8,501,207,64,76.9,183
3985701733,Rubus lasiococcus,42.891606,-122.13095,1990,3.7,12.9,-3.6,16.5,1585,204,8.7,63.4,582,877,5197,10,135,187,252,65,758,-32.1,33.4,15.9,638,315,59,108.87,275
