gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
4018451480,Rubus nivalis,48.630467,-122.390525,377,10.2,18.1,3.1,15,1610,358,12.5,50.4,99,2158,2963,114,292,106,309,202,53,-17.8,36.4,12.2,738,183,69,96.8,985
3988623669,Rubus nivalis,48.032892,-123.419084,591,8.7,16.3,2.4,13.9,1596,213,11.7,76.4,136,1732,3439,52,274,123,306,183,101,-18.9,34.3,12.2,666,257,72,106.36,712
3985775993,Rubus nivalis,43.64643,-122.659692,654,11.6,20.5,4.4,16,1578,229,13.7,89.3,73,2623,2579,258,295,117,316,200,37,-16.4,40.5,14,963,443,62,68.42,1339
3985692071,Rubus nivalis,43.647226,-122.663534,663,11.6,20.4,4.4,16,1575,229,13.7,89,74,2613,2589,256,295,117,316,199,37,-16.5,40.5,14.1,961,440,62,68.43,1333
3968371429,Rubus nivalis,44.2333,-122.175,761,11.1,20,3.7,16.3,2010,272,10.5,73.8,89,2469,2747,223,281,122,305,183,64,-17.9,40.9,13.8,964,409,61,110.15,1245
3968371368,Rubus nivalis,44.2333,-122.175,884,10.7,19.7,3.6,16.1,2051,290,10.1,67.8,94,2357,2843,191,276,126,303,177,73,-18.2,40.5,13.9,943,374,61,117.04,1170
3961466571,Rubus nivalis,45.70395,-123.343972,367,10.2,18.3,3,15.3,1811,194,11.1,94.1,103,2174,2972,120,289,116,312,197,77,-17.5,38.2,13,824,391,67,111.51,1013
3961450508,Rubus nivalis,47.82848,-123.04428,770,8.1,15.8,1.7,14.2,1785,265,10.1,59.6,152,1574,3644,42,263,128,303,176,135,-21,33.2,11.3,613,165,73,131.84,621
3961446602,Rubus nivalis,46.392108,-121.989778,722,8.7,17.3,1.6,15.7,2063,311,9.1,55.8,158,1806,3465,78,257,135,298,163,164,-20.7,36.6,13.3,752,238,68,144.95,804
3961410348,Rubus nivalis,43.017567,-122.720733,847,11.9,21.3,4.2,17.1,1045,146,21,145.9,77,2743,2548,328,282,124,306,181,26,-17.8,42.1,14.7,1067,610,57,-1.94,1455
3961390532,Rubus nivalis,44.499817,-123.568908,747,11.1,19.1,4.4,14.6,2857,279,7.4,68.3,73,2404,2692,163,314,94,328,234,71,-15.2,37.8,15.2,810,293,70,215.01,1148
3961371510,Rubus nivalis,43.764763,-122.632554,1331,10.6,19.6,3.5,16.1,1658,255,12.4,77.1,98,2315,2900,191,279,130,314,183,63,-18.4,38.9,16.6,879,359,65,84.58,1155
3961332644,Rubus nivalis,46.729615,-121.802964,1149,7.3,16.3,-0.3,16.6,2198,376,7.9,43.3,250,1527,3937,49,222,151,288,137,338,-24.5,35.2,13.1,712,195,66,161.98,651
3961246534,Rubus nivalis,48.033567,-123.445847,843,7.8,15.7,1.3,14.4,2039,247,8.7,63.4,182,1535,3757,39,248,137,299,162,205,-21.6,33.7,12.1,650,222,70,153.23,608
3961245419,Rubus nivalis,43.764747,-122.632622,1331,10.6,19.6,3.5,16.1,1658,255,12.4,77.1,98,2315,2900,191,279,130,314,183,63,-18.4,38.9,16.6,879,360,65,84.56,1155
3961244519,Rubus nivalis,48.031345,-123.4365,739,8.1,15.9,1.7,14.2,1833,229,9.9,69.6,162,1609,3631,43,259,131,301,170,153,-20.5,33.9,12.3,655,237,71,131.9,645
3961215514,Rubus nivalis,44.226677,-122.126107,1000,9.8,18.7,3,15.8,2134,323,9.3,57.9,116,2109,3098,133,260,137,297,160,105,-19.5,39.5,14.5,904,316,61,131.63,1004
3961145238,Rubus nivalis,47.488802,-121.688036,415,9.9,17.8,2.6,15.3,2263,464,8.8,38.4,113,2096,3065,104,287,115,309,193,96,-18,36.4,13.6,759,154,69,162.07,959
3961135331,Rubus nivalis,47.614444,-123.163889,590,9.4,17.4,2.4,15,2441,346,8,50.4,118,1950,3197,85,282,118,312,194,120,-19.2,35.7,12.6,694,188,71,186.58,864
3961134467,Rubus nivalis,44.49947,-123.567933,733,11.1,19.1,4.4,14.6,2834,278,7.4,68.6,73,2407,2689,163,313,94,328,234,70,-15.2,37.8,15.2,813,295,70,212.53,1150
3961114458,Rubus nivalis,47.020867,-123.096642,394,10.7,18.8,3.3,15.5,2473,327,8.4,57.6,91,2314,2826,150,296,108,316,208,82,-17.2,38,11.7,802,270,68,177.11,1104
3961023584,Rubus nivalis,49.431228,-123.527038,510,9.2,17.3,2.3,15,1986,399,9.6,43.4,132,1893,3295,78,292,96,311,215,106,-17.4,34.6,12.1,602,112,77,149.89,830
3961015521,Rubus nivalis,43.823333,-122.724563,750,11.8,20.5,4.6,15.9,1509,239,14.5,85.8,69,2667,2521,262,307,104,325,220,31,-15.6,40,14.4,921,404,65,65.8,1361
3960991461,Rubus nivalis,47.022531,-123.095847,380,10.7,18.8,3.4,15.5,2442,324,8.5,58.3,90,2322,2816,151,297,107,316,209,80,-17.2,38.1,11.7,804,273,67,173.71,1109
3960986446,Rubus nivalis,46.964867,-123.156272,622,10,18.3,2.8,15.4,2650,344,7.6,53.1,105,2130,3019,117,291,115,316,202,111,-17.7,36.9,13,742,219,70,201.8,988
3947503759,Rubus nivalis,44.243375,-122.168006,1074,10.2,19.1,3.5,15.6,2131,323,9.5,59.1,103,2188,2996,149,268,133,303,170,88,-18.8,39.6,14.8,901,311,62,130.49,1051
3925451114,Rubus nivalis,44.23242,-122.159403,737,11.2,20.1,3.8,16.4,1989,268,10.7,75.2,86,2502,2715,232,284,120,306,186,61,-17.7,40.9,13.9,966,414,61,107.81,1266
3925145919,Rubus nivalis,44.232254,-122.161602,743,11.2,20.2,3.8,16.4,1988,267,10.7,75.4,86,2508,2709,234,284,119,306,186,60,-17.7,40.9,13.8,966,415,61,107.45,1269
3923675728,Rubus nivalis,49.838266,-125.618484,234,9.2,18,1.4,16.5,1578,262,12.2,68.6,159,1974,3317,107,277,114,302,187,113,-19,36.3,10.4,697,260,71,100.02,926
3923557533,Rubus nivalis,44.23318,-122.176176,756,11.1,20,3.7,16.3,2011,271,10.5,73.8,89,2468,2749,223,281,122,305,183,65,-17.9,40.9,13.8,965,411,61,110.2,1244
3915528366,Rubus nivalis,43.649942,-122.652572,782,11.4,20.2,4.2,16,1620,236,13.2,85.4,78,2537,2659,235,290,121,315,194,42,-16.9,40.2,14.2,949,425,62,74.09,1282
3915470570,Rubus nivalis,49.531581,-125.551217,502,8.3,17.4,0.7,16.8,2639,426,6.9,40.9,201,1779,3592,81,257,125,299,174,272,-21,35.5,10.7,666,151,72,210.38,814
3915455599,Rubus nivalis,49.772897,-125.621835,228,9.1,18,1.4,16.5,1762,269,10.9,66.8,161,1965,3329,107,275,115,301,185,130,-19.2,36.4,11.5,700,258,71,118.37,922
3915360553,Rubus nivalis,49.579148,-125.614642,656,8,17.2,0.3,16.9,2721,384,6.6,44.7,221,1717,3691,74,252,128,297,170,330,-21.5,35.2,9.5,656,163,72,219.29,778
3915309588,Rubus nivalis,49.575794,-125.612892,363,9.3,18.5,1.3,17.3,2657,366,7.3,50.6,167,2031,3304,130,276,114,304,190,211,-19.1,36.8,9.1,701,195,72,206.89,987
3915286470,Rubus nivalis,49.532238,-125.551123,499,8.3,17.5,0.7,16.8,2634,423,7,41.2,201,1783,3588,81,257,125,299,174,270,-21,35.6,10.7,666,151,72,209.83,816
3915277539,Rubus nivalis,48.632359,-122.393981,464,10,18,2.9,15.1,1662,372,12,48.4,104,2107,3026,108,287,111,306,195,59,-18.3,36.4,12.3,735,173,68,102.13,957
3915266438,Rubus nivalis,49.576014,-125.612411,395,9.1,18.4,1.2,17.2,2659,368,7.2,49.9,172,1996,3345,123,273,116,303,187,221,-19.4,36.6,9.1,696,192,72,207.82,963
3912107465,Rubus nivalis,48.632984,-122.403894,598,9.6,17.8,2.7,15.2,1706,383,11.5,46.6,113,2014,3139,96,277,120,302,183,69,-19.1,36.3,12.3,730,164,68,107.06,903
3912080300,Rubus nivalis,47.622475,-123.158128,547,9.5,17.5,2.5,15,2433,346,8,50.5,116,1958,3185,86,283,117,312,195,117,-19.1,35.7,12.5,693,187,71,185.97,868
3912073482,Rubus nivalis,48.630539,-122.390952,398,10.1,18.1,3,15,1623,362,12.4,49.9,100,2146,2978,112,291,108,308,200,54,-17.9,36.4,12.2,737,181,69,98.13,978
3902423912,Rubus nivalis,49.570031,-125.629394,408,9.1,18.3,1.1,17.2,2765,377,6.9,48.5,177,1976,3375,119,272,117,303,187,240,-19.6,36.5,9,689,184,72,219.27,952
3892366435,Rubus nivalis,49.322724,-122.838145,395,9.8,18.1,2.4,15.7,2695,534,7.4,33.9,122,2111,3084,116,298,90,315,224,124,-17.4,35.5,12,644,64,75,215.92,981
3892314444,Rubus nivalis,49.322758,-122.83812,414,9.8,18.1,2.3,15.7,2731,541,7.2,33.3,125,2084,3113,112,296,92,314,223,130,-17.6,35.4,12,641,62,75,219.8,966
3888999528,Rubus nivalis,48.035947,-123.434097,669,8.4,16.1,2,14.1,1790,228,10.3,70.6,150,1666,3539,47,265,128,303,175,132,-19.9,34.1,11.9,662,244,71,126.52,677
