gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
4018451480,Rubus nivalis,48.630467,-122.390525,377,8.8,16.3,1.7,14.6,1614,379,11.6,43,139,1777,3404,54,268,121,296,175,90,-20.7,34.7,11.9,697,139,69,105.14,737
3988623669,Rubus nivalis,48.032892,-123.419084,591,7.4,14.7,1.1,13.6,1597,229,10.9,64,186,1407,3870,26,250,133,295,161,162,-21.5,32.7,11.9,632,221,71,113.02,520
3985775993,Rubus nivalis,43.64643,-122.659692,654,10.3,18.7,3.1,15.6,1589,252,12.8,74.3,101,2228,2946,144,273,130,305,174,61,-19.1,38.7,13.8,914,386,62,79.42,1067
3985692071,Rubus nivalis,43.647226,-122.663534,663,10.3,18.7,3.1,15.6,1586,252,12.8,74.1,102,2219,2956,142,273,130,304,174,62,-19.1,38.7,13.9,912,384,62,79.41,1062
3968371429,Rubus nivalis,44.2333,-122.175,761,9.7,18.2,2.3,15.9,2017,295,9.8,61.8,124,2082,3133,119,258,133,292,159,107,-20.6,38.9,13.5,913,351,61,121.24,977
3968371368,Rubus nivalis,44.2333,-122.175,884,9.4,17.8,2.2,15.6,2060,315,9.4,56.7,132,1980,3238,100,252,137,291,154,121,-21,38.5,13.7,892,315,61,128.05,908
3961466571,Rubus nivalis,45.70395,-123.343972,367,9,16.8,1.8,14.9,1817,215,10.5,78.2,138,1856,3331,66,269,127,301,174,119,-19.9,36.6,12.7,788,346,67,118.86,796
3961450508,Rubus nivalis,47.82848,-123.04428,770,6.8,14.2,0.4,13.8,1789,285,9.4,49.8,209,1261,4082,21,240,137,293,156,220,-23.4,31.6,11,579,128,73,138.29,443
3961446602,Rubus nivalis,46.392108,-121.989778,722,7.4,15.6,0.3,15.3,2073,339,8.4,46,216,1469,3908,37,233,143,287,144,264,-23.2,34.8,13,709,197,68,154.13,590
3961410348,Rubus nivalis,43.017567,-122.720733,847,10.6,19.7,2.9,16.8,1055,161,19.5,122,108,2347,2906,199,258,136,294,158,44,-20.5,40.4,14.5,1014,554,57,10.66,1177
3961390532,Rubus nivalis,44.499817,-123.568908,747,9.9,17.6,3.3,14.3,2854,310,7,56.7,97,2070,3026,93,296,110,317,207,110,-17.5,36.3,14.9,775,254,70,221.49,922
3961371510,Rubus nivalis,43.764763,-122.632554,1331,9.2,17.9,2.2,15.7,1673,280,11.5,63.9,135,1949,3288,102,256,141,304,162,104,-20.9,37.1,16.3,832,302,65,95.25,904
3961332644,Rubus nivalis,46.729615,-121.802964,1149,5.9,14.5,-1.6,16.1,2210,408,7.2,35.5,340,1215,4407,23,198,158,277,119,516,-27,33.4,12.8,658,149,66,171.11,456
3961246534,Rubus nivalis,48.033567,-123.445847,843,6.5,14.1,0,14.1,2037,266,8.1,53.1,246,1236,4185,20,224,145,289,144,320,-24.1,32.1,11.8,616,184,70,159.43,435
3961245419,Rubus nivalis,43.764747,-122.632622,1331,9.2,17.9,2.2,15.7,1672,280,11.5,63.9,135,1949,3288,102,256,141,304,162,104,-20.9,37.1,16.3,832,302,65,95.23,904
3961244519,Rubus nivalis,48.031345,-123.4365,739,6.9,14.3,0.5,13.9,1833,246,9.2,58.3,220,1300,4060,22,235,140,291,151,242,-23,32.3,12,621,201,71,138.25,466
3961215514,Rubus nivalis,44.226677,-122.126107,1000,8.5,16.9,1.6,15.3,2145,351,8.6,48.2,162,1742,3530,65,235,146,284,138,175,-22.2,37.6,14.3,854,261,61,142.78,755
3961145238,Rubus nivalis,47.488802,-121.688036,415,8.5,16,1.2,14.8,2266,495,8.1,32.3,161,1719,3514,49,263,127,296,169,163,-20.8,34.6,13.2,715,106,69,170.49,708
3961135331,Rubus nivalis,47.614444,-123.163889,590,8.2,15.9,1.2,14.7,2443,372,7.4,42.7,161,1621,3611,44,260,129,301,172,193,-21.6,34.1,12.3,660,151,71,193.47,651
3961134467,Rubus nivalis,44.49947,-123.567933,733,9.9,17.6,3.3,14.3,2832,308,7,57,97,2073,3022,93,296,111,317,206,109,-17.5,36.3,14.9,778,254,70,219.05,924
3961114458,Rubus nivalis,47.020867,-123.096642,394,9.4,17.3,2.1,15.2,2479,354,7.8,48.7,124,1970,3198,79,276,121,305,184,132,-19.7,36.4,11.4,765,226,67,184.73,870
3961023584,Rubus nivalis,49.431228,-123.527038,510,7.8,15.6,1,14.5,1982,416,9,37.4,184,1532,3749,36,267,111,300,189,176,-20.3,32.8,11.9,569,75,76,155.65,606
3961015521,Rubus nivalis,43.823333,-122.724563,750,10.5,18.7,3.2,15.5,1523,263,13.5,71.3,95,2273,2881,146,287,120,314,193,51,-18.2,38.2,14.1,875,348,65,76.49,1089
3960991461,Rubus nivalis,47.022531,-123.095847,380,9.5,17.3,2.1,15.2,2447,351,8,49.2,123,1978,3187,80,276,121,305,184,128,-19.7,36.5,11.4,767,230,67,181.35,875
3960986446,Rubus nivalis,46.964867,-123.156272,622,8.8,16.7,1.6,15.1,2656,374,7.1,44.7,143,1801,3402,62,270,127,306,179,178,-20.1,35.3,12.7,707,181,70,208.86,768
3947503759,Rubus nivalis,44.243375,-122.168006,1074,8.8,17.3,2.1,15.2,2142,350,8.8,49.2,144,1816,3416,74,244,143,291,149,146,-21.5,37.7,14.5,852,258,62,141.51,799
3925451114,Rubus nivalis,44.23242,-122.159403,737,9.8,18.3,2.4,16,1997,291,9.9,63.1,120,2112,3099,124,261,131,293,162,102,-20.4,39,13.6,915,356,61,118.91,996
3925145919,Rubus nivalis,44.232254,-122.161602,743,9.8,18.4,2.4,16,1995,290,9.9,63.3,120,2117,3093,125,261,131,293,162,101,-20.4,39,13.6,915,357,61,118.57,999
3923675728,Rubus nivalis,49.838266,-125.618484,234,7.9,16.4,0.2,16.2,1569,273,11.4,59.9,216,1643,3730,54,252,126,290,164,177,-21.7,34.9,10.3,663,225,71,105.58,708
3923557533,Rubus nivalis,44.23318,-122.176176,756,9.7,18.2,2.3,15.9,2018,294,9.8,61.8,124,2081,3135,119,258,133,292,159,108,-20.6,38.9,13.5,914,352,61,121.28,977
3915528366,Rubus nivalis,43.649942,-122.652572,782,10,18.4,2.9,15.5,1631,260,12.3,71,108,2148,3030,129,268,134,303,169,70,-19.5,38.4,13.9,900,369,62,85.02,1015
3915470570,Rubus nivalis,49.531581,-125.551217,502,7.1,15.9,-0.6,16.5,2621,446,6.5,35.6,271,1471,4013,41,233,135,289,154,415,-23.6,34.1,10.6,617,111,71,214.76,617
3915455599,Rubus nivalis,49.772897,-125.621835,228,7.8,16.4,0.2,16.2,1749,281,10.2,58.4,218,1638,3740,53,251,127,289,162,203,-21.8,35,11.4,666,222,71,123.53,706
3915360553,Rubus nivalis,49.579148,-125.614642,656,6.8,15.7,-0.9,16.6,2698,402,6.2,39,296,1416,4123,38,228,138,288,150,498,-24.1,33.8,9.4,608,127,71,223.21,587
3915309588,Rubus nivalis,49.575794,-125.612892,363,8,17,0,16.9,2634,383,6.8,44.3,225,1712,3700,68,253,126,294,168,325,-21.8,35.4,9,668,159,71,210.88,767
3915286470,Rubus nivalis,49.532238,-125.551123,499,7.1,15.9,-0.6,16.5,2616,443,6.5,35.9,270,1474,4008,42,233,135,289,154,413,-23.6,34.1,10.5,617,111,71,214.2,619
3915277539,Rubus nivalis,48.632359,-122.393981,464,8.6,16.2,1.6,14.7,1667,394,11.2,41.2,146,1731,3466,51,262,125,294,169,100,-21.2,34.6,12,694,130,68,110.59,715
3915266438,Rubus nivalis,49.576014,-125.612411,395,7.9,16.8,-0.1,16.9,2636,385,6.8,43.7,232,1678,3743,64,250,128,293,166,340,-22,35.2,9,654,156,71,211.78,746
3912107465,Rubus nivalis,48.632984,-122.403894,598,8.3,16.1,1.3,14.8,1710,405,10.7,39.7,159,1645,3589,46,252,132,291,158,118,-22,34.5,12,689,121,68,115.66,672
3912080300,Rubus nivalis,47.622475,-123.158128,547,8.2,15.9,1.2,14.7,2435,372,7.5,42.7,159,1628,3599,44,261,128,301,173,189,-21.6,34.1,12.2,659,150,71,192.83,654
3912073482,Rubus nivalis,48.630539,-122.390952,398,8.7,16.3,1.7,14.6,1627,383,11.5,42.6,141,1766,3419,53,266,122,296,174,92,-20.8,34.6,12,696,137,69,106.5,732
3902423912,Rubus nivalis,49.570031,-125.629394,408,7.8,16.8,-0.2,16.9,2741,395,6.5,42.5,238,1660,3772,62,249,128,293,165,368,-22.2,35,8.9,648,149,72,223.01,736
3892366435,Rubus nivalis,49.322724,-122.838145,395,8.4,16.4,1.1,15.3,2688,555,6.9,29.5,170,1733,3531,55,275,106,304,198,206,-20.4,33.7,11.8,607,31,75,221.94,730
3892314444,Rubus nivalis,49.322758,-122.83812,414,8.3,16.3,1,15.3,2724,562,6.7,29,174,1712,3560,53,273,107,303,196,216,-20.6,33.7,11.8,605,30,75,225.8,718
3888999528,Rubus nivalis,48.035947,-123.434097,669,7.1,14.5,0.8,13.8,1790,245,9.6,59.2,204,1350,3973,24,241,137,293,155,210,-22.4,32.5,11.6,628,207,71,133.01,492
3888804484,Rubus nivalis,48.034233,-123.444947,831,6.6,14.2,0.1,14.1,2029,266,8.2,53.3,242,1245,4168,20,225,145,289,145,312,-24,32.2,11.8,617,186,70,158.41,440
3888768607,Rubus nivalis,48.040039,-123.434813,598,7.4,14.6,1.1,13.6,1683,232,10.3,63,189,1396,3888,26,248,134,294,160,175,-21.7,32.7,11.6,631,217,71,121.75,513
3888714475,Rubus nivalis,48.032281,-123.435678,714,7,14.4,0.6,13.8,1808,244,9.4,58.9,214,1317,4029,23,237,139,292,153,229,-22.8,32.4,11.9,623,203,71,135.46,474
3873882795,Rubus nivalis,48.03572,-123.43425,669,7.1,14.5,0.8,13.8,1787,245,9.6,59.3,204,1350,3973,24,241,137,293,155,210,-22.4,32.5,11.6,628,207,71,132.73,491
3873635040,Rubus nivalis,49.850216,-125.787848,344,7.4,16.1,-0.3,16.4,1836,268,9.5,60.1,246,1556,3882,48,243,131,289,158,259,-22.5,34.3,10.8,637,225,71,134.41,665
