gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
891083071,Vaccinium parvifolium,47.637092,-122.295629,27,11,18,4.3,13.7,944,184,22.3,98.1,71,2376,2665,127,318,79,323,244,20,-14.5,35.9,11.4,742,342,71,31.9,1092
891080940,Vaccinium parvifolium,47.820661,-121.555109,171,9.6,17.1,1.9,15.2,2199,416,8.9,41.2,127,2025,3152,84,282,113,304,190,114,-19.4,36,12.8,758,180,68,157.49,904
891076696,Vaccinium parvifolium,46.839714,-122.316025,284,9.8,17.5,2.8,14.7,1033,235,19.2,74.3,108,2068,3065,93,278,121,300,179,39,-18.8,37,11.6,817,345,65,34.12,927
891074541,Vaccinium parvifolium,46.839876,-122.294284,511,9.2,16.8,2.2,14.6,1209,263,15.9,63.8,128,1895,3273,68,263,132,294,162,62,-20.3,36.5,11.6,803,306,64,53.11,816
883389148,Vaccinium parvifolium,52.15,-128.116667,88,8,14.3,2.5,11.8,3001,849,6,16.9,138,1466,3665,29,285,113,307,194,159,-17.1,30.7,10,513,0,78,261.27,518
623695929,Vaccinium parvifolium,47.431667,-121.761667,295,8.7,16.2,1.5,14.6,2097,465,8.9,34.7,147,1770,3430,52,268,124,298,174,130,-20.3,34.8,11.2,718,120,69,153.39,733
465863013,Vaccinium parvifolium,49.5,-125.5,1382,3.3,11.8,-3.5,15.3,4097,668,3.2,17.7,608,745,5363,6,163,166,273,107,1851,-30.3,29.6,13.8,448,12,71,378.18,188
465863012,Vaccinium parvifolium,49.5,-125.5,1382,3.3,11.8,-3.5,15.3,4097,668,3.2,17.7,608,745,5363,6,163,166,273,107,1851,-30.3,29.6,13.8,448,12,71,378.18,188
465863010,Vaccinium parvifolium,49.5,-125.5,1382,3.3,11.8,-3.5,15.3,4097,668,3.2,17.7,608,745,5363,6,163,166,273,107,1851,-30.3,29.6,13.8,448,12,71,378.18,188
465863008,Vaccinium parvifolium,49.5,-125.5,1382,3.3,11.8,-3.5,15.3,4097,668,3.2,17.7,608,745,5363,6,163,166,273,107,1851,-30.3,29.6,13.8,448,12,71,378.18,188
465863007,Vaccinium parvifolium,50.965278,-118.369444,554,5.6,17.3,-6.7,24,1059,326,14.7,53.2,693,1581,4586,76,196,134,275,141,411,-33.3,35.8,-9999,638,214,68,53.7,752
441858202,Vaccinium parvifolium,47.393554,-123.402209,620,8.7,16.2,1.8,14.4,3613,515,5.2,31.5,138,1736,3439,51,277,119,308,189,230,-19.5,34.4,11.4,661,102,73,308.99,712
441858196,Vaccinium parvifolium,48.6129,-122.614,8,9.8,16,3.5,12.6,786,186,25.2,86.1,89,1988,3036,56,304,92,312,220,22,-16.6,34,-9999,681,298,72,23.61,807
441858189,Vaccinium parvifolium,48.88402,-121.03805,502,7.7,17.8,-1.8,19.6,1226,212,14.5,84.3,306,1769,3828,93,221,137,278,141,238,-26.6,37.7,12,748,364,64,58.97,836
441858164,Vaccinium parvifolium,48.74791,-122.84196,8,9.9,16.3,3.8,12.5,842,184,23.6,88.7,86,2011,3011,62,309,85,315,230,23,-15.5,34.2,-9999,660,286,74,31.13,828
441858157,Vaccinium parvifolium,46.212547,-123.11861,168,10,17.1,3.1,13.9,1713,281,11.7,60.6,96,2079,2999,79,285,117,302,185,60,-18,36.9,11.5,819,289,65,103.18,905
441858133,Vaccinium parvifolium,48.207778,-122.173611,88,10.1,16.9,3.4,13.5,1234,309,16.3,54.5,90,2094,2963,77,301,97,311,214,34,-16.9,35.2,11.7,723,204,70,63.53,901
441857915,Vaccinium parvifolium,47.60639,-122.33083,64,10.9,17.9,4.2,13.7,931,176,22.4,101.5,74,2333,2711,119,316,81,322,240,21,-14.8,35.7,11.3,738,345,71,31.11,1065
441857914,Vaccinium parvifolium,47.60639,-122.33083,64,10.9,17.9,4.2,13.7,931,176,22.4,101.5,74,2333,2711,119,316,81,322,240,21,-14.8,35.7,11.3,738,345,71,31.11,1065
441857913,Vaccinium parvifolium,47.60639,-122.33083,64,10.9,17.9,4.2,13.7,931,176,22.4,101.5,74,2333,2711,119,316,81,322,240,21,-14.8,35.7,11.3,738,345,71,31.11,1065
441857912,Vaccinium parvifolium,47.60639,-122.33083,64,10.9,17.9,4.2,13.7,931,176,22.4,101.5,74,2333,2711,119,316,81,322,240,21,-14.8,35.7,11.3,738,345,71,31.11,1065
441857910,Vaccinium parvifolium,48.07861,-121.56583,473,7.8,16.2,-0.6,16.8,3243,689,5.5,23.6,238,1675,3741,52,245,127,291,165,402,-23.9,34,13.3,679,53,69,271.17,716
441857887,Vaccinium parvifolium,46.85163,-121.76092,4375,-9,1,-16.1,17.1,2995,435,0.3,2.3,3405,35,9849,0,20,29,224,195,2859,-48.2,16.8,16.4,81,0,75,296.5,1
441857886,Vaccinium parvifolium,48.09472,-123.80583,186,9,15.5,3.2,12.3,1468,206,12.9,75.3,108,1748,3314,39,294,104,308,204,64,-16.7,33.8,11,650,250,73,96.37,672
