"","gbifID","species","decimalLatitude","decimalLongitude","elevation"
"1",811880141,"Rubus lasiococcus",45.37361,-121.69444,3347
"2",441828819,"Rubus lasiococcus",47.07017,-121.06326,1802
"3",441828784,"Rubus lasiococcus",47.980822,-120.737187,1500
"4",441828657,"Rubus lasiococcus",47.27694,-121.3375,1198
"5",441828554,"Rubus lasiococcus",48.06611,-121.50778,1067
"6",441828302,"Rubus lasiococcus",47.98167,-123.60139,174
"7",441828294,"Rubus lasiococcus",47.744438,-121.090111,1524.5
"8",441828198,"Rubus lasiococcus",46.85163,-121.76092,4380
"9",441828195,"Rubus lasiococcus",48.105535,-120.737582,1220
"10",441828194,"Rubus lasiococcus",47.99538,-123.46784,1896
"11",441828193,"Rubus lasiococcus",47.71167,-121.15444,640
"12",441828187,"Rubus lasiococcus",47.52205,-123.26061,1677
"13",441828110,"Rubus lasiococcus",45.94957,-121.72064,979
"14",441828102,"Rubus lasiococcus",47.366667,-121.551389,1128
"15",441828097,"Rubus lasiococcus",47.348833,-121.501433,1497
"16",441828088,"Rubus lasiococcus",47.32,-121.593056,1098
"17",441828087,"Rubus lasiococcus",47.32,-121.593056,1098
"18",441828080,"Rubus lasiococcus",47.29615,-121.534167,1113
"19",441827949,"Rubus lasiococcus",48.063294,-121.513675,991
"20",441827948,"Rubus lasiococcus",46.19893,-122.18888,1875
"21",441827946,"Rubus lasiococcus",47.56,-123.42528,1220
"22",441827945,"Rubus lasiococcus",47.46722,-121.45472,1220
"23",441827943,"Rubus lasiococcus",47.93333,-123.40833,1524
"24",4022272624,"Rubus lasiococcus",43.64247,-122.035773,1477
"25",4022251381,"Rubus lasiococcus",43.781739,-122.045997,1649
"26",4022200662,"Rubus lasiococcus",46.869818,-121.519426,1628
"27",4022161491,"Rubus lasiococcus",43.639137,-122.041573,1483
"28",4022150426,"Rubus lasiococcus",44.281418,-122.145722,1553
"29",4022073414,"Rubus lasiococcus",44.281247,-122.143172,1578
"30",4022069463,"Rubus lasiococcus",44.28145,-122.146097,1553
"31",4022052490,"Rubus lasiococcus",44.278205,-122.14027,1438
"32",4022032534,"Rubus lasiococcus",44.228943,-121.876427,1450
"33",4021997536,"Rubus lasiococcus",44.20535,-122.130552,1497
"34",4021994502,"Rubus lasiococcus",44.180133,-121.825722,1843
"35",4006710591,"Rubus lasiococcus",47.386437,-121.388293,785
"36",3994288516,"Rubus lasiococcus",49.140558,-120.804793,1781
"37",3994271526,"Rubus lasiococcus",49.140558,-120.804793,1781
"38",3994170579,"Rubus lasiococcus",49.140558,-120.804793,1781
"39",3994110545,"Rubus lasiococcus",49.137123,-120.796607,1646
"40",3994069544,"Rubus lasiococcus",42.037317,-122.079475,1285
