gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
811880141,95c938a8-f762-11e1-a439-00145eb45e9a,0e0d8eb6-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,Mount Hood,Oregon,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,45.37361,-121.69444,10499,,,,,,1899-08-26T00:00:00,26,8,1899,2997456,2997456,PRESERVED_SPECIMEN,KU,KANU,284512,,Ronald L McGregor,,CC_BY_4_0,,Marshall Albert Barber,,,2023-02-06T21:34:02.140Z,StillImage,AMBIGUOUS_COLLECTION
441828819,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Near Forest Road 3100 (Quartz Mountain Road) about 1/2 mile above junction with Forest Road 230.,Washington,PRESENT,,06fcbbf0-0562-11d8-b851-b8a03c50a862,47.07017,-121.06326,,,1802,0,,,2009-07-29T00:00:00,29,7,2009,2997456,2997456,PRESERVED_SPECIMEN,UWBM,Plants,181626,,Don Knoke,,CC0_1_0,,Don Knoke,,,2023-01-24T22:18:37.534Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
441828784,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Along trail at Basalt Pass.,Washington,PRESENT,,06fcbbf0-0562-11d8-b851-b8a03c50a862,47.980822,-120.737187,,,1500,0,,,1989-07-09T00:00:00,9,7,1989,2997456,2997456,PRESERVED_SPECIMEN,UWBM,Plants,172789,,,,CC0_1_0,,M. Arnot,,,2023-01-24T22:17:51.581Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
441828707,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,North Cascades National Park.  North side of Hock Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441828657,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Above the tunnel on the Northern Pacific Railroad at Stampede Pass.,Washington,PRESENT,,06fcbbf0-0562-11d8-b851-b8a03c50a862,47.27694,-121.3375,,,,,,,1892-06-20T00:00:00,20,6,1892,2997456,2997456,PRESERVED_SPECIMEN,UWBM,Plants,111306,,,,CC0_1_0,,Louis F. Henderson,,,2023-01-24T22:18:37.529Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
441828555,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Chinook Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441828554,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Near Big Four Inn.,Washington,PRESENT,,06fcbbf0-0562-11d8-b851-b8a03c50a862,48.06611,-121.50778,,,1067,0,,,1940-06-15T00:00:00,15,6,1940,2997456,2997456,PRESERVED_SPECIMEN,UWBM,Plants,98822,,,,CC0_1_0,,J. William Thompson,,,2023-01-24T22:18:37.673Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
441828553,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Bald Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441828305,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Olympic National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441828303,8310f570-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,Gray,US,Scatter Creek Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
